matchId,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess,korea
6275480eff6b84ffd9c4ce58,202205,승,0,0,0,0,0,0,105,4,57,2,4.51111,gamepad,10,10,0,3,3,0,1,0,0,0,6,2,4,1,0,0,143,132,117,113,3,2,2,0,1,1,20,16,0,0,2,0,9,7,N
62825988ed0ada65d0159875,202205,패,2,1,0,0,0,0,56,1,50,0,3.42778,gamepad,5,5,0,0,0,0,1,0,0,0,5,0,0,0,0,0,79,70,61,57,1,1,0,0,3,3,13,9,0,0,11,1,11,6,N
62825988ed0ada65d0159875,202205,승,1,0,0,0,0,0,67,4,50,0,4.76667,gamepad,7,7,0,3,3,0,0,0,0,0,7,3,0,0,0,0,85,78,55,54,4,3,0,0,3,2,20,19,2,0,8,0,7,3,N
626e987e3c9f308c2db022bc,202205,패,0,0,0,0,0,0,68,0,47,0,4.02222,keyboard,5,5,0,2,2,0,1,0,0,0,5,2,0,0,0,0,123,110,90,86,2,1,0,0,0,0,26,21,3,2,5,0,16,7,N
626e987e3c9f308c2db022bc,202205,승,0,0,2,0,0,0,77,1,53,0,4.21667,gamepad,6,4,0,3,3,0,1,0,0,0,4,2,2,1,0,0,104,90,70,67,8,3,0,0,4,3,17,14,4,3,8,1,17,8,N
626e10b32d8c248fade40315,202205,무,0,0,0,0,0,0,118,1,53,1,4.16111,gamepad,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,157,144,130,120,2,1,0,0,4,4,19,17,2,2,3,0,14,5,N
626e10b32d8c248fade40315,202205,무,0,0,0,1,0,0,93,1,47,0,4.21111,gamepad,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,124,116,100,95,3,3,0,0,2,2,17,16,1,0,10,1,6,1,Y
626ec39ec7fdc858d86d8409,202205,패,0,0,1,0,0,0,61,0,43,0,3.91667,keyboard,3,3,0,3,3,0,0,0,0,0,3,3,0,0,0,0,104,93,73,70,3,3,0,0,0,0,25,20,0,0,10,0,14,4,N
626ec39ec7fdc858d86d8409,202205,승,0,0,0,0,0,0,98,0,57,0,4.15556,keyboard,9,6,0,4,4,0,1,0,0,0,7,4,2,0,0,0,119,110,79,76,4,1,0,0,2,2,32,30,1,1,6,0,19,6,N
6274a99060f0425860ed0cd8,202205,패,0,0,1,0,0,0,88,3,51,0,3.48889,gamepad,6,5,0,1,1,0,0,0,0,0,3,0,3,1,0,0,120,112,83,80,2,0,0,0,1,1,32,29,2,2,6,0,9,4,Y
